epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,9.990134e-05,3.9903,2.2078,0.5188,0.7938,82.0
2,9.960574e-05,3.4403,1.7603,0.6203,0.8527,75.2
3,9.911436e-05,3.2747,1.5767,0.6605,0.8840,75.2
4,9.842916e-05,3.1791,1.5362,0.6898,0.8974,74.9
5,9.755283e-05,3.1056,1.4139,0.7040,0.9063,75.5
6,9.648882e-05,3.1061,1.3097,0.7191,0.9109,75.2
7,9.524135e-05,3.0302,1.4788,0.7275,0.9162,76.3
8,9.381533e-05,2.9878,1.4215,0.7405,0.9191,75.0
9,9.221640e-05,2.9859,1.2923,0.7423,0.9228,76.0
10,9.045085e-05,2.9542,1.2651,0.7575,0.9283,75.4
11,8.852566e-05,2.9595,1.2388,0.7608,0.9292,75.6
12,8.644843e-05,2.9130,1.1789,0.7634,0.9310,76.0
13,8.422736e-05,2.8889,1.2383,0.7657,0.9328,75.7
14,8.187120e-05,2.8946,1.1548,0.7711,0.9344,75.7
15,7.938926e-05,2.8737,1.2002,0.7684,0.9347,76.0
16,7.679134e-05,2.8486,1.1232,0.7753,0.9372,76.1
17,7.408768e-05,2.8567,1.1663,0.7777,0.9381,75.7
18,7.128896e-05,2.8058,1.1641,0.7846,0.9403,76.4
19,6.840623e-05,2.8039,1.1724,0.7794,0.9394,75.7
20,6.545085e-05,2.8029,1.1549,0.7801,0.9389,76.0
21,6.243449e-05,2.7937,1.0798,0.7901,0.9420,76.0
22,5.936907e-05,2.7594,1.0929,0.7872,0.9415,74.9
23,5.626666e-05,2.7865,1.1062,0.7881,0.9406,75.9
24,5.313953e-05,2.7781,1.0930,0.7898,0.9403,75.1
25,5.000000e-05,2.7889,1.0014,0.7933,0.9419,76.8
26,4.686047e-05,2.7825,1.1165,0.7922,0.9402,75.5
27,4.373334e-05,2.7557,1.0582,0.7951,0.9442,75.7
28,4.063093e-05,2.7722,1.0545,0.7991,0.9409,75.1
29,3.756551e-05,2.7380,1.0466,0.7972,0.9422,75.9
30,3.454915e-05,2.7262,1.1464,0.7963,0.9430,75.7
31,3.159377e-05,2.7143,1.0348,0.8011,0.9451,76.3
32,2.871104e-05,2.7198,1.1038,0.8003,0.9427,75.5
33,2.591232e-05,2.7291,1.1018,0.7988,0.9439,75.4
34,2.320866e-05,2.6948,1.0687,0.7993,0.9428,75.9
35,2.061074e-05,2.7371,1.0310,0.8021,0.9444,75.6
36,1.812880e-05,2.7031,1.0999,0.8015,0.9448,75.4
37,1.577264e-05,2.7268,1.0157,0.8054,0.9439,76.1
38,1.355157e-05,2.7077,1.0483,0.8005,0.9439,76.0
39,1.147434e-05,2.7145,1.0117,0.8046,0.9450,76.1
40,9.549150e-06,2.6946,1.0198,0.8065,0.9451,75.4
41,7.783604e-06,2.7182,1.1193,0.8030,0.9439,75.0
42,6.184666e-06,2.7158,1.0349,0.8058,0.9465,75.1
43,4.758647e-06,2.6896,1.0068,0.8050,0.9464,76.0
44,3.511176e-06,2.6942,0.9854,0.8065,0.9460,76.0
45,2.447174e-06,2.6887,0.9612,0.8082,0.9463,75.7
46,1.570842e-06,2.6943,1.0547,0.8058,0.9451,75.7
47,8.856375e-07,2.6930,1.0704,0.8037,0.9442,75.7
48,3.942649e-07,2.6883,0.9979,0.8078,0.9464,75.7
49,9.866358e-08,2.6810,1.0310,0.8070,0.9444,75.6
50,0.000000e+00,2.7126,1.0491,0.8069,0.9444,76.0
