epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,9.990134e-05,3.5845,1.5367,0.6705,0.8883,94.8
2,9.960574e-05,3.0158,1.2417,0.7356,0.9176,93.6
3,9.911436e-05,2.8562,1.0919,0.7621,0.9321,93.6
4,9.842916e-05,2.7641,1.0636,0.7814,0.9387,93.7
5,9.755283e-05,2.7141,1.0421,0.7871,0.9403,93.4
6,9.648882e-05,2.7068,0.9886,0.8037,0.9456,93.1
7,9.524135e-05,2.6583,1.0184,0.8024,0.9461,93.5
8,9.381533e-05,2.6212,0.9944,0.8038,0.9489,93.3
9,9.221640e-05,2.5746,0.9952,0.8121,0.9479,93.9
10,9.045085e-05,2.5736,1.0214,0.8123,0.9505,93.9
11,8.852566e-05,2.5455,0.9183,0.8219,0.9516,93.4
12,8.644843e-05,2.5302,0.9184,0.8189,0.9543,93.9
13,8.422736e-05,2.4907,0.9920,0.8213,0.9543,93.8
14,8.187120e-05,2.4792,0.9687,0.8238,0.9550,93.6
15,7.938926e-05,2.4581,0.8781,0.8252,0.9543,93.6
16,7.679134e-05,2.4328,0.8693,0.8322,0.9556,93.0
17,7.408768e-05,2.4379,0.8720,0.8279,0.9541,93.2
18,7.128896e-05,2.4102,0.8854,0.8302,0.9541,93.1
19,6.840623e-05,2.3753,0.8872,0.8331,0.9555,93.6
20,6.545085e-05,2.3853,0.9364,0.8387,0.9567,93.6
21,6.243449e-05,2.3522,0.8354,0.8413,0.9604,93.2
22,5.936907e-05,2.3469,0.9263,0.8374,0.9579,93.5
23,5.626666e-05,2.3692,0.8697,0.8436,0.9584,93.4
24,5.313953e-05,2.3244,0.8829,0.8384,0.9615,93.7
25,5.000000e-05,2.3218,0.8454,0.8465,0.9604,93.7
26,4.686047e-05,2.3229,0.9840,0.8413,0.9589,93.5
27,4.373334e-05,2.2863,0.8775,0.8444,0.9580,93.7
28,4.063093e-05,2.3043,0.8844,0.8478,0.9597,93.4
29,3.756551e-05,2.2445,0.7817,0.8492,0.9597,93.3
30,3.454915e-05,2.2583,0.8723,0.8488,0.9616,93.3
31,3.159377e-05,2.2560,0.8883,0.8481,0.9588,93.3
32,2.871104e-05,2.2402,0.8320,0.8510,0.9616,93.6
33,2.591232e-05,2.2479,0.8602,0.8519,0.9611,93.4
34,2.320866e-05,2.2255,0.8959,0.8516,0.9615,93.4
35,2.061074e-05,2.2486,0.8662,0.8528,0.9613,93.3
36,1.812880e-05,2.2349,0.8855,0.8521,0.9618,93.6
37,1.577264e-05,2.2144,0.8369,0.8532,0.9620,93.1
38,1.355157e-05,2.1978,0.8282,0.8507,0.9616,93.1
39,1.147434e-05,2.2158,0.8411,0.8529,0.9616,93.1
40,9.549150e-06,2.1857,0.8296,0.8544,0.9622,93.1
41,7.783604e-06,2.1629,0.7984,0.8544,0.9621,93.1
42,6.184666e-06,2.1961,0.8024,0.8539,0.9621,93.6
43,4.758647e-06,2.1836,0.8376,0.8552,0.9624,93.5
44,3.511176e-06,2.1929,0.8229,0.8541,0.9629,93.6
45,2.447174e-06,2.1765,0.8314,0.8552,0.9628,93.7
46,1.570842e-06,2.1720,0.8709,0.8550,0.9629,93.2
47,8.856375e-07,2.1947,0.9410,0.8540,0.9613,93.3
48,3.942649e-07,2.1747,0.8045,0.8556,0.9629,93.6
49,9.866358e-08,2.1680,0.8631,0.8570,0.9629,93.5
50,0.000000e+00,2.1898,0.8664,0.8539,0.9632,93.7
