epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,2.000000e-05,4.5968,4.5034,0.0796,0.2069,111.2
2,4.000000e-05,4.3324,3.4977,0.2995,0.6001,102.2
3,6.000000e-05,3.8099,2.4884,0.4903,0.7735,102.5
4,8.000000e-05,3.4209,1.9549,0.5993,0.8438,102.3
5,1.000000e-04,3.2045,1.6113,0.6574,0.8804,102.7
6,1.000000e-04,3.0806,1.4928,0.6907,0.8964,103.8
7,9.960968e-05,2.9570,1.3793,0.7106,0.9110,103.5
8,9.844487e-05,2.9110,1.3232,0.7279,0.9184,102.5
9,9.652394e-05,2.8709,1.2469,0.7423,0.9234,102.8
10,9.387718e-05,2.8220,1.2301,0.7526,0.9242,101.6
11,9.054634e-05,2.8039,1.1930,0.7597,0.9288,102.0
12,8.658395e-05,2.7418,1.1539,0.7667,0.9328,101.5
13,8.205249e-05,2.7238,1.1518,0.7723,0.9344,102.2
14,7.702343e-05,2.7246,1.1739,0.7765,0.9353,102.1
15,7.157607e-05,2.6989,1.1713,0.7823,0.9378,102.4
16,6.579634e-05,2.6533,1.0827,0.7843,0.9411,102.7
17,5.977538e-05,2.6364,1.2122,0.7820,0.9386,102.7
18,5.360813e-05,2.6331,1.1552,0.7906,0.9394,101.7
19,4.739187e-05,2.6237,1.1064,0.7956,0.9424,104.2
20,4.122462e-05,2.6052,1.0461,0.7975,0.9430,102.1
21,3.520366e-05,2.5959,1.0937,0.7995,0.9426,102.6
22,2.942393e-05,2.5800,1.0368,0.8042,0.9450,103.6
23,2.397657e-05,2.5857,1.1285,0.8030,0.9435,101.9
24,1.894751e-05,2.5693,1.0058,0.8058,0.9460,101.5
25,1.441605e-05,2.5587,1.0326,0.8033,0.9453,104.2
26,1.045366e-05,2.5636,1.1036,0.8045,0.9450,101.8
27,7.122819e-06,2.5567,1.0815,0.8051,0.9443,104.7
28,4.476064e-06,2.5421,1.0595,0.8073,0.9463,103.6
29,2.555134e-06,2.5670,1.0977,0.8063,0.9469,103.4
30,1.390322e-06,2.5692,1.0999,0.8041,0.9455,100.4
